Time	Start	Mid	End	Avg	Name	Word	Vowel	f1	f2	f3
0.005	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav		<p:>	--undefined--	--undefined--	--undefined--
0.05249479166666665	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav		<p:>	--undefined--	--undefined--	--undefined--
0.0999895833333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav		<p:>	752.5241394110518	2108.0553123099958	3149.7066355529537
0.005:0.0999895833333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav		<p:>	1201.3118754625518	2324.8904744517085	3271.147616908002
0.1049895833333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	m e~	m	541.0173809170732	2029.952643221207	3087.60702608328
0.11748958333333315	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	m e~	m	484.15995109478905	2040.7705823017727	3060.144241075885
0.129989583333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	m e~	m	488.499473081965	2028.596739426077	3044.03645948435
0.1049895833333333:0.129989583333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	m e~	m	503.78332115560744	2035.8516333385774	3069.9283170047843
0.134989583333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	m e~	e~	492.06589256878203	2013.1226071755104	3035.454706498731
0.237489583333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	m e~	e~	525.5375115572451	1831.7796110233446	3063.702775610269
0.339989583333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	m e~	e~	327.937587404424	1356.1891001740041	2800.372069616598
0.134989583333333:0.339989583333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	m e~	e~	505.0390747677106	1825.4045969261635	3022.465979511692
0.344989583333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	k	323.27491069199993	1054.1282086024055	2758.599486395861
0.357489583333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	k	401.3248533258243	1318.0176331500652	2938.618891437128
0.369989583333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	k	473.2683781320577	2724.926248928399	3310.599032407466
0.344989583333333:0.369989583333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	k	376.6165730106323	1350.2893923938	2904.7913833409043
0.374989583333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	e	488.67366146789067	2713.5120504716565	3314.807926530805
0.422489583333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	e	469.38526642649856	2380.7470451293243	3317.185903857051
0.469989583333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	e	578.9006779575509	1850.3798943234249	2437.9527767111294
0.374989583333333:0.469989583333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	e	490.70549067616173	2336.328656118252	3150.0071849179135
0.474989583333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	n_j	576.9500918243345	1819.150092231879	2267.8233693725547
0.49248958333333304	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	n_j	567.7546284425842	1351.0017578361492	2022.2713909899849
0.509989583333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	n_j	533.630912487172	1405.759350391785	2239.612492715
0.474989583333333:0.509989583333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	n_j	566.8202341988135	1531.7122982423107	2100.59247207201
0.514989583333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	e~	523.303718588942	1360.4410085636862	2297.129745023353
0.567489583333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	e~	663.8767863619729	2407.4362711675094	3457.0981928230462
0.619989583333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	e~	551.353540462794	1977.8409367943061	3338.348716403274
0.514989583333333:0.619989583333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	e~	618.600348154706	2002.3197041783912	3165.7826454457254
0.624989583333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	t	533.7138139721583	1922.102320691408	3244.3693089216918
0.6374895833333329	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	t	543.6604185553836	2076.103340618581	3305.44322378475
0.649989583333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	t	576.7083046174803	2317.69457333869	3577.5276135923045
0.624989583333333:0.649989583333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	t	541.772605353807	2029.855895195676	3289.2824850804172
0.654989583333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k e n_j e~ t s_j n e~	s_j	585.3754238415779	2375.629906137534	3700.0749780844117
